probability,angleinvcdf
0.0,0.0
0.00010001000100010001,0.0029885275454499967
0.00020002000200020003,0.004236668394085331
0.00030003000300030005,0.00519447035881116
0.00040004000400040005,0.006001986322787334
0.0005000500050005,0.006713465144750597
0.0006000600060006001,0.007356730363222813
0.0007000700070007,0.007948309364256943
0.0008000800080008001,0.008498970015104286
0.0009000900090009002,0.00901619219493872
0.001000100010001,0.009505421820420325
0.0011001100110011,0.009970769896687366
0.0012001200120012002,0.010415430119851193
0.0013001300130013002,0.01084194208944568
0.0014001400140014,0.011252364754821345
0.0015001500150015003,0.011648394957947984
0.0016001600160016002,0.012031450687088942
0.0017001700170017002,0.012402731293303644
0.0018001800180018003,0.012763262042282746
0.0019001900190019003,0.013113927508713263
0.002000200020002,0.013455498235291057
0.0021002100210021,0.013788650082936992
0.0022002200220022,0.014113979166383774
0.0023002300230023005,0.014432014340332942
0.0024002400240024004,0.014743227444587035
0.0025002500250025004,0.015048041459482728
0.0026002600260026003,0.015346837276505652
0.0027002700270027003,0.015639959285417296
0.0028002800280028,0.015927720194639006
0.0029002900290029006,0.01621040497056434
0.0030003000300030005,0.016488274188909066
0.0031003100310031005,0.016761566806729085
0.0032003200320032004,0.017030502639741214
0.0033003300330033004,0.017295284408416895
0.0034003400340034003,0.01755609957577951
0.0035003500350035003,0.017813121860143104
0.0036003600360036006,0.018066512642067278
0.0037003700370037006,0.01831642214567711
0.0038003800380038005,0.01856299048455621
0.0039003900390039005,0.0188063485898503
0.004000400040004,0.01904661903014243
0.004100410041004101,0.01928391673837748
0.0042004200420042,0.01951834966823535
0.004300430043004301,0.019750019371559756
0.0044004400440044,0.019979021503177433
0.004500450045004501,0.02020544642921108
0.004600460046004601,0.020429379667142082
0.0047004700470047005,0.02065090210563725
0.004800480048004801,0.020870090395855554
0.0049004900490049,0.021087017202943644
0.005000500050005001,0.02130175152958288
0.0051005100510051,0.021514358960278368
0.005200520052005201,0.021724901872466347
0.005300530053005301,0.02193343968202546
0.0054005400540054005,0.022140029105617413
0.005500550055005501,0.022344724409324997
0.0056005600560056,0.02254757740221057
0.005700570057005701,0.022748637568414654
0.005800580058005801,0.022947952212957725
0.005900590059005901,0.023145566591969202
